Unnamed: 0,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,cheeseburger,hamburger,fries,combo,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Hardees,"1 gateway blvd s, savannah, ga, 31419-7551, us",7.443846153846154,7.09,1.3454283759431045,,13,,6.39,,,,,ga,31419,Chatham,2024-05-16,0,1,1,0
1,Hardees,"10 e clemmonsville rd, winston salem, nc, 27127, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,nc,27127,Forsyth,2024-05-16,0,1,1,0
2,Hardees,"3351 sides branch rd, winston salem, nc, 27127, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,nc,27127,Forsyth,2024-05-16,0,1,1,0
3,Hardees,"10 hwy 17 n, surfside beach, sc, 29575, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,sc,29575,Horry,2024-05-16,0,1,1,0
4,Hardees,"100 vandora springs rd., garner, nc, 27529, us",6.016666666666666,5.99,1.7740600014906172,,15,,5.39,2.69,2.39,,,nc,27529,Wake,2024-05-16,0,1,1,0
5,Hardees,"1000 acorn dr, nashville, tn, 37210, us",6.873333333333334,6.640000000000001,1.1703513242707173,,12,,6.09,,,,,tn,37210,Davidson,2024-05-16,0,1,1,0
6,Hardees,"10005 dorchester rd., summerville, sc, 29485, us",7.282857142857142,7.140000000000001,1.4596791651955994,,14,,5.89,,,,,sc,29485,Dorchester,2024-05-16,0,1,1,0
7,Hardees,"101 village road ne, leland, nc, 28451, us",6.016666666666666,5.99,1.7740600014906172,,15,,5.39,2.69,2.39,,,nc,28451,Brunswick,2024-05-16,0,1,1,0
8,Hardees,"1097 highway 92, acworth, ga, 30102, us",7.451538461538461,7.19,1.3770305071970914,,13,,5.89,,,,,ga,30102,Cherokee,2024-05-16,0,1,1,0
9,Hardees,"11201 oscar rd., louisville, ky, 40241, us",8.174615384615382,8.49,1.787067281177634,,13,,5.49,,,,,ky,40241,Jefferson,2024-05-16,0,1,1,0
10,Hardees,"120 veterans rd, columbia, sc, 29209, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,sc,29209,Richland,2024-05-16,0,1,1,0
11,Hardees,"1213 woodruff rd, greenville, sc, 29607, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,sc,29607,Greenville,2024-05-16,0,1,1,0
12,Hardees,"125 w maple st, cumming, ga, 30040, us",7.282857142857142,7.140000000000001,1.4596791651955994,,14,,5.89,,,,,ga,30040,Forsyth,2024-05-16,0,1,1,0
13,Hardees,"1397 e main st, duncan, sc, 29334, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,sc,29334,Spartanburg,2024-05-16,0,1,1,0
14,Hardees,"140 dale earnhardt boulevard, kannapolis, nc, 28081, us",6.016666666666666,5.99,1.7740600014906172,,15,,5.39,2.69,2.39,,,nc,28081,Cabarrus,2024-05-16,0,1,1,0
15,Hardees,"14101 statesville rd, huntersville, nc, 28078, us",6.636153846153847,6.49,1.1933246283551904,,13,,5.49,,,,,nc,28078,Mecklenburg,2024-05-16,0,1,1,0
16,Hardees,"1420 floral parkway, wilmington, nc, 28403, us",6.016666666666666,5.99,1.7740600014906172,,15,,5.39,2.69,2.39,,,nc,28403,New Hanover,2024-05-16,0,1,1,0
17,Hardees,"1436 robinson rd, old hickory, tn, 37138, us",6.873333333333334,6.640000000000001,1.1703513242707173,,12,,6.09,,,,,tn,37138,Davidson,2024-05-16,0,1,1,0
18,Hardees,"150 n cedar bluff road, knoxville, tn, 37923, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,tn,37923,Knox,2024-05-16,0,1,1,0
19,Hardees,"1506 church st, conway, sc, 29526, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,sc,29526,Horry,2024-05-16,0,1,1,0
20,Hardees,"1510 sw tradition dr, ankeny, ia, 50023, us",7.559230769230767,7.49,1.3441523582281052,,13,,5.99,,,,,ia,50023,Polk,2024-05-16,0,1,1,0
21,Hardees,"1520, buford, ga, 30518, us",7.282857142857142,7.140000000000001,1.4596791651955994,,14,,5.89,,,,,ga,30518,Gwinnett,2024-05-16,0,1,1,0
22,Hardees,"161 marietta hwy, canton, ga, 30114, us",7.451538461538461,7.19,1.3770305071970914,,13,,5.89,,,,,ga,30114,Cherokee,2024-05-16,0,1,1,0
23,Hardees,"1685 middle tennessee blvd, murfreesboro, tn, 37130, us",6.873333333333334,6.640000000000001,1.1703513242707173,,12,,6.09,,,,,tn,37130,Rutherford,2024-05-16,0,1,1,0
24,Hardees,"1807 four seasons blvd, hendersonville, nc, 28792, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,nc,28792,Henderson,2024-05-16,0,1,1,0
25,Hardees,"1851 memorial blvd, murfreesboro, tn, 37129, us",6.873333333333334,6.640000000000001,1.1703513242707173,,12,,6.09,,,,,tn,37129,Rutherford,2024-05-16,0,1,1,0
26,Hardees,"1910 s lake dr, lexington, sc, 29073-8282, us",7.290000000000001,6.99,1.3917338383911908,,13,,6.09,,,,,sc,29073,Lexington,2024-05-16,0,1,1,0
27,Hardees,"1970 s. 17th street, wilmington, nc, 28401, us",6.016666666666666,5.99,1.7740600014906172,,15,,5.39,2.69,2.39,,,nc,28401,New Hanover,2024-05-16,0,1,1,0
28,Hardees,"2005 whitten road, memphis, tn, 38133, us",6.974615384615386,6.79,1.187010565597559,,13,,6.09,,,,,tn,38133,Shelby,2024-05-16,0,1,1,0
29,Hardees,"201 n, goose creek, sc, 29445, us",7.282857142857142,7.140000000000001,1.4596791651955994,,14,,5.89,,,,,sc,29445,Berkeley,2024-05-16,0,1,1,0
30,Hardees,"2020 w market st, york, pa, 17404, us",7.428461538461539,7.49,1.1235510063656768,,13,,6.29,,,,,pa,17404,York,2024-05-16,0,1,1,0
31,Hardees,"206 s main st, clover, sc, 29710, us",6.636153846153847,6.49,1.1933246283551904,,13,,5.49,,,,,sc,29710,York,2024-05-16,0,1,1,0
32,Hardees,"2109 savannah hwy., charleston, sc, 29414, us",7.282857142857142,7.140000000000001,1.4596791651955994,,14,,5.89,,,,,sc,29414,Charleston,2024-05-16,0,1,1,0
33,Hardees,"2165 mana court, rock hill, sc, 29730, us",6.636153846153847,6.49,1.1933246283551904,,13,,5.49,,,,,sc,29730,York,2024-05-16,0,1,1,0
34,Hardees,"228 oxmoor blvd, homewood, al, 35209-4737, us",7.066923076923077,6.89,1.3582533162138484,,13,,5.99,,,,,al,35209,Jefferson,2024-05-16,0,1,1,0
35,Hardees,"2306 w parker rd, greenville, sc, 29617, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,sc,29617,Greenville,2024-05-16,0,1,1,0
36,Hardees,"2382 old fort pkwy, murfreesboro, tn, 37128, us",6.873333333333334,6.640000000000001,1.1703513242707173,,12,,6.09,,,,,tn,37128,Rutherford,2024-05-16,0,1,1,0
37,Hardees,"2450 e layton ave, saint francis, wi, 53235-6045, us",7.943846153846154,7.69,1.4019850677441306,,13,,6.09,,,,,wi,53235,Milwaukee,2024-05-16,0,1,1,0
38,Hardees,"2497 hope mills road, fayetteville, nc, 28304, us",6.016666666666666,5.99,1.7740600014906172,,15,,5.39,2.69,2.39,,,nc,28304,Cumberland,2024-05-16,0,1,1,0
39,Hardees,"2499 augusta rd, west columbia, sc, 29169, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,sc,29169,Lexington,2024-05-16,0,1,1,0
40,Hardees,"2516 bouldercrest drive, atlanta, ga, 30316, us",7.451538461538461,7.19,1.3770305071970914,,13,,5.89,,,,,ga,30316,DeKalb,2024-05-16,0,1,1,0
41,Hardees,"255 s lowry st, smyrna, tn, 37167, us",6.873333333333334,6.640000000000001,1.1703513242707173,,12,,6.09,,,,,tn,37167,Rutherford,2024-05-16,0,1,1,0
42,Hardees,"2909 fern valley road, louisville, ky, 40219, us",8.174615384615382,8.49,1.787067281177634,,13,,5.49,,,,,ky,40219,Jefferson,2024-05-16,0,1,1,0
43,Hardees,"2919 tazewell pike, knoxville, tn, 37918, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,tn,37918,Knox,2024-05-16,0,1,1,0
44,Hardees,"2930 highway 138 sw, conyers, ga, 30094, us",7.451538461538461,7.19,1.3770305071970914,,13,,5.89,,,,,ga,30094,Rockdale,2024-05-16,0,1,1,0
45,Hardees,"2983 s church st, murfreesboro, tn, 37127, us",6.873333333333334,6.640000000000001,1.1703513242707173,,12,,6.09,,,,,tn,37127,Rutherford,2024-05-16,0,1,1,0
46,Hardees,"2990 richmond rd, lexington, ky, 40509, us",7.405384615384614,7.39,1.4680422095410208,,13,,5.49,,,,,ky,40509,Fayette,2024-05-16,0,1,1,0
47,Hardees,"3046 parkway, pigeon forge, tn, 37863, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,tn,37863,Sevier,2024-05-16,0,1,1,0
48,Hardees,"3062 anvil block road, ellenwood, ga, 30294, us",7.451538461538461,7.19,1.3770305071970914,,13,,5.89,,,,,ga,30294,DeKalb,2024-05-16,0,1,1,0
49,Hardees,"3203 wade hampton blvd, taylors, sc, 29687, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,sc,29687,Greenville,2024-05-16,0,1,1,0
50,Hardees,"3803 morganton road, fayetteville, nc, 28314, us",6.016666666666666,5.99,1.7740600014906172,,15,,5.39,2.69,2.39,,,nc,28314,Cumberland,2024-05-16,0,1,1,0
51,Hardees,"3852 rosewood dr, columbia, sc, 29205, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,sc,29205,Richland,2024-05-16,0,1,1,0
52,Hardees,"3912 north duke street, durham, nc, 27704, us",6.016666666666666,5.99,1.7740600014906172,,15,,5.39,2.69,2.39,,,nc,27704,Durham,2024-05-16,0,1,1,0
53,Hardees,"400 s cartwright, goodlettsville, tn, 37072, us",6.873333333333334,6.640000000000001,1.1703513242707173,,12,,6.09,,,,,tn,37072,Davidson,2024-05-16,0,1,1,0
54,Hardees,"4011 s noland rd, independence, mo, 64055, us",7.2823076923076915,6.99,1.240633546875602,,13,,5.99,,,,,mo,64055,Jackson,2024-05-16,0,1,1,0
55,Hardees,"4099 nolensville pike, nashville, tn, 37211, us",6.873333333333334,6.640000000000001,1.1703513242707173,,12,,6.09,,,,,tn,37211,Davidson,2024-05-16,0,1,1,0
56,Hardees,"4201 east w.t.harris blvd, charlotte, nc, 28215, us",6.636153846153847,6.49,1.1933246283551904,,13,,5.49,,,,,nc,28215,Mecklenburg,2024-05-16,0,1,1,0
57,Hardees,"4260 legion road, hope mills, nc, 28348, us",6.016666666666666,5.99,1.7740600014906172,,15,,5.39,2.69,2.39,,,nc,28348,Cumberland,2024-05-16,0,1,1,0
58,Hardees,"451 mills ave, greenville, sc, 29605, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,sc,29605,Greenville,2024-05-16,0,1,1,0
59,Hardees,"4850 floyd road sw, mableton, ga, 30126, us",7.451538461538461,7.19,1.3770305071970914,,13,,5.89,,,,,ga,30126,Cobb,2024-05-16,0,1,1,0
60,Hardees,"4945 s emerson ave, indianapolis, in, 46203-5938, us",7.466923076923075,7.39,1.3823913762606317,,13,,5.99,,,,,in,46203,Marion,2024-05-16,0,1,1,0
61,Hardees,"496 piney grove rd, columbia, sc, 29212, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,sc,29212,Lexington,2024-05-16,0,1,1,0
62,Hardees,"508 waldron rd, la vergne, tn, 37086, us",6.873333333333334,6.640000000000001,1.1703513242707173,,12,,6.09,,,,,tn,37086,Rutherford,2024-05-16,0,1,1,0
63,Hardees,"5201 ashley phosphate rd., north charleston, sc, 29418, us",7.282857142857142,7.140000000000001,1.4596791651955994,,14,,5.89,,,,,sc,29418,Charleston,2024-05-16,0,1,1,0
64,Hardees,"5259 highway 78, stone mountain, ga, 30087, us",7.282857142857142,7.140000000000001,1.4596791651955994,,14,,5.89,,,,,ga,30087,DeKalb,2024-05-16,0,1,1,0
65,Hardees,"5373 e bannister rd., kansas city, mo, 64137, us",7.2823076923076915,6.99,1.240633546875602,,13,,5.99,,,,,mo,64137,Jackson,2024-05-16,0,1,1,0
66,Hardees,"547 church street north, concord, nc, 28025, us",6.016666666666666,5.99,1.7740600014906172,,15,,5.39,2.69,2.39,,,nc,28025,Cabarrus,2024-05-16,0,1,1,0
67,Hardees,"5601 creedmoor rd, raleigh, nc, 27612, us",6.016666666666666,5.99,1.7740600014906172,,15,,5.39,2.69,2.39,,,nc,27612,Wake,2024-05-16,0,1,1,0
68,Hardees,"5601, castle hayne, nc, 28429, us",6.016666666666666,5.99,1.7740600014906172,,15,,5.39,2.69,2.39,,,nc,28429,New Hanover,2024-05-16,0,1,1,0
69,Hardees,"5639 hillsborough st., raleigh, nc, 27606, us",6.016666666666666,5.99,1.7740600014906172,,15,,5.39,2.69,2.39,,,nc,27606,Wake,2024-05-16,0,1,1,0
70,Hardees,"5775 old hickory blvd, hermitage, tn, 37076, us",6.873333333333334,6.640000000000001,1.1703513242707173,,12,,6.09,,,,,tn,37076,Davidson,2024-05-16,0,1,1,0
71,Hardees,"6000 n kings hwy, myrtle beach, sc, 29577, us",7.336153846153845,6.99,1.4436147923317544,,13,,6.39,,,,,sc,29577,Horry,2024-05-16,0,1,1,0
72,Hardees,"6116 farrington road, chapel hill, nc, 27517, us",6.016666666666666,5.99,1.7740600014906172,,15,,5.39,2.69,2.39,,,nc,27517,Chatham,2024-05-16,0,1,1,0
73,Hardees,"6323 independence ave, kansas city, mo, 64125, us",7.2823076923076915,6.99,1.240633546875602,,13,,5.99,,,,,mo,64125,Jackson,2024-05-16,0,1,1,0
74,Hardees,"646 main st, mc sherrystown, pa, 17344, us",7.428461538461539,7.49,1.1235510063656768,,13,,6.29,,,,,pa,17344,Adams,2024-05-16,0,1,1,0
75,Hardees,"6501 state park road, travelers rest, sc, 29690, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,sc,29690,Greenville,2024-05-16,0,1,1,0
76,Hardees,"6671 roswell rd ne, sandy springs, ga, 30328, us",7.451538461538461,7.19,1.3770305071970914,,13,,5.89,,,,,ga,30328,Fulton,2024-05-16,0,1,1,0
77,Hardees,"6760 clinton hwy, knoxville, tn, 37912, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,tn,37912,Knox,2024-05-16,0,1,1,0
78,Hardees,"7003 city circle way, fairview, tn, 37062, us",6.873333333333334,6.640000000000001,1.1703513242707173,,12,,6.09,,,,,tn,37062,Williamson,2024-05-16,0,1,1,0
79,Hardees,"7015 hacks cross road, olive branch, ms, 38654, us",6.974615384615386,6.79,1.187010565597559,,13,,6.09,,,,,ms,38654,DeSoto,2024-05-16,0,1,1,0
80,Hardees,"704 w academy st, randleman, nc, 27317, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,nc,27317,Randolph,2024-05-16,0,1,1,0
81,Hardees,"710 w 10th st, indianapolis, in, 46202, us",7.420769230769232,7.09,1.3679769540257474,,13,,6.39,,,,,in,46202,Marion,2024-05-16,0,1,1,0
82,Hardees,"7102 highway 70 s, bellevue, tn, 37221, us",6.873333333333334,6.640000000000001,1.1703513242707173,,12,,6.09,,,,,tn,37221,Davidson,2024-05-16,0,1,1,0
83,Hardees,"749 goodman rd west, horn lake, ms, 38637, us",6.974615384615386,6.79,1.187010565597559,,13,,6.09,,,,,ms,38637,DeSoto,2024-05-16,0,1,1,0
84,Hardees,"8009 pendleton pike, indianapolis, in, 46226-4012, us",7.466923076923075,7.39,1.3823913762606317,,13,,5.99,,,,,in,46226,Marion,2024-05-16,0,1,1,0
85,Hardees,"8021 state ave, kansas city, ks, 66112, us",7.151538461538461,6.79,1.167863573129921,,13,,5.99,,,,,ks,66112,Wyandotte,2024-05-16,0,1,1,0
86,Hardees,"820 e main st, dallastown, pa, 17313, us",7.428461538461539,7.49,1.1235510063656768,,13,,6.29,,,,,pa,17313,York,2024-05-16,0,1,1,0
87,Hardees,"8601 allisonville rd, indianapolis, in, 46250-1552, us",7.466923076923075,7.39,1.3823913762606317,,13,,5.99,,,,,in,46250,Marion,2024-05-16,0,1,1,0
88,Hardees,"875 gold hill rd, fort mill, sc, 29708, us",6.636153846153847,6.49,1.1933246283551904,,13,,5.49,,,,,sc,29708,York,2024-05-16,0,1,1,0
89,Hardees,"8755 university avenue, des moines, ia, 50325, us",7.559230769230767,7.49,1.3441523582281052,,13,,5.99,,,,,ia,50325,Polk,2024-05-16,0,1,1,0
90,Hardees,"9020 east 21st street, indianapolis, in, 46229, us",7.420769230769232,7.09,1.3679769540257474,,13,,6.39,,,,,in,46229,Marion,2024-05-16,0,1,1,0
91,Hardees,"915 army post rd, des moines, ia, 50315, us",7.42076923076923,7.49,1.5364217246499512,,13,,5.99,,,,,ia,50315,Polk,2024-05-16,0,1,1,0
92,Hardees,"917 allison-bonnett memorial dr, hueytown, al, 35023, us",7.066923076923077,6.89,1.3582533162138484,,13,,5.99,,,,,al,35023,Jefferson,2024-05-16,0,1,1,0
93,Hardees,"940 thornton rd., lithia springs, ga, 30122, us",7.451538461538461,7.19,1.3770305071970914,,13,,5.89,,,,,ga,30122,Douglas,2024-05-16,0,1,1,0
94,Hardees,"roebuck parkway east &amp; red lane rd, birmingham, al, 35215, us",7.22846153846154,6.89,1.4393045658011705,,13,,6.29,,,,,al,35215,Jefferson,2024-05-16,0,1,1,0
0,Carls Jr,"1155 w riverdale rd unit a riverdale, ut 84405",6.77125,7.19,1.7285176995044047,,16,,,3.99,,,,ut,84405,Weber,2024-05-16,0,1,1,0
1,Carls Jr,"1700 w state st, boise, id, 83702, us",7.108181818181819,7.939999999999999,1.836408640312628,,22,,4.99,3.99,,,,id,83702,Ada,2024-05-16,0,1,1,0
2,Carls Jr,"2118 w 1700 s syracuse, ut 84075, us",6.77125,7.19,1.7285176995044047,,16,,,3.99,,,,ut,84075,Davis,2024-05-16,0,1,1,0
3,Carls Jr,"493 n milwaukee st, boise, id, 83704, us",7.108181818181819,7.939999999999999,1.836408640312628,,22,,4.99,3.99,,,,id,83704,Ada,2024-05-16,0,1,1,0
4,Carls Jr,"4994 e 41st, tulsa, ok, 74135, us",6.540333333333335,7.04,1.4984892021262246,,30,,,4.09,,,,ok,74135,Tulsa,2024-05-16,0,1,1,0
5,Carls Jr,"5722 s 49th west ave tulsa, ok 74107",6.43764705882353,7.09,1.4957489936159456,,17,,,4.09,,,,ok,74107,Tulsa,2024-05-16,0,1,1,0
6,Carls Jr,"582 n main street clearfield, ut 84015, us",6.77125,7.19,1.7285176995044047,,16,,,3.99,,,,ut,84015,Davis,2024-05-16,0,1,1,0
7,Carls Jr,"925 w antelope drive, layton, ut, 84041, us",6.77125,7.19,1.7285176995044047,,16,,,3.99,,,,ut,84041,Davis,2024-05-16,0,1,1,0
