,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,fries,specialty_item,hamburger,combo,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
84,Burger King,"2820 bragg boulevard, fayetteville, nc, 28303, us",3.6660000000000004,3.09,1.7761261216478965,,25,,1.99,3.09,5.39,3.09,,nc,28303,Cumberland,2024-03-30,0,0,1,0
85,Burger King,"2862 n. martin luther king dr., milwaukee, wi, 53212, us",4.265555555555555,3.29,2.6210859119885193,,27,,2.29,3.29,6.89,3.99,,wi,53212,Milwaukee,2024-03-30,0,0,1,0
86,Burger King,"2900 brownsville road, pittsburgh, pa, 15227, us",3.848888888888888,2.99,2.147371059955825,,27,,1.99,2.99,5.59,3.19,,pa,15227,Allegheny,2024-03-30,0,0,1,0
87,Burger King,"2902 richey street, houston, tx, 77017, us",3.6438461538461535,2.6399999999999997,2.074428701563354,,26,,1.89,2.59,5.49,2.69,,tx,77017,Harris,2024-03-30,0,0,1,0
88,Burger King,"2902 two notch road, columbia, sc, 29204, us",3.9799999999999995,3.42,1.89,,26,,2.99,3.29,5.89,3.55,,sc,29204,Richland,2024-03-30,0,0,1,0
89,Burger King,"2910 airport boulevard, houston, tx, 77051, us",3.613076923076922,2.54,2.050948690860983,,26,,1.89,2.49,5.49,2.59,,tx,77051,Harris,2024-03-30,0,0,1,0
90,Burger King,"4676 bellfort avenue, houston, tx, 77051, us",3.6438461538461535,2.6399999999999997,2.074428701563354,,26,,1.89,2.59,5.49,2.69,,tx,77051,Harris,2024-03-30,0,0,1,0
91,Burger King,"2915 saint stephens rd, mobile, al, 36612, us",3.9533333333333327,3.09,1.97779057424075,,30,,2.29,2.79,5.49,3.19,,al,36612,Mobile,2024-03-30,0,0,1,0
92,Burger King,"3004 airport boulevard, mobile, al, 36606, us",3.9299999999999993,3.09,1.9374553758301982,,30,,2.29,2.79,5.39,3.19,,al,36606,Mobile,2024-03-30,0,0,1,0
93,Burger King,"3009 collingsworth st, houston, tx, 77026, us",3.613076923076922,2.54,2.050948690860983,,26,,1.89,2.49,5.49,2.59,,tx,77026,Harris,2024-03-30,0,0,1,0
94,Burger King,"308 jordan lane, huntsville, al, 35805, us",3.74185185185185,2.99,2.044209594670032,,27,,2.29,2.89,5.89,3.09,,al,35805,Madison,2024-03-30,0,0,1,0
95,Burger King,"309 ih 37, corpus christi, tx, 78401, us",3.609230769230769,2.6399999999999997,1.9806796096230028,,26,,1.99,2.59,5.49,2.69,,tx,78401,Nueces,2024-03-30,0,0,1,0
96,Burger King,"310 east trade street, charlotte, nc, 28202, us",3.5923076923076924,2.8,2.058794097547075,,26,,1.99,2.7,6.29,2.9,,nc,28202,Mecklenburg,2024-03-30,0,0,1,0
97,Burger King,"3100 highland road, baton rouge, la, 70802, us",3.7751851851851845,2.99,1.9811526206850356,,27,,2.29,2.79,5.39,3.19,,la,70802,East Baton Rouge,2024-03-30,0,0,1,0
98,Burger King,"3112 e berry st, fort worth, tx, 76119, us",4.06037037037037,2.99,2.6434846271421555,,27,,1.89,2.79,6.19,2.99,,tx,76119,Tarrant,2024-03-30,0,0,1,0
99,Burger King,"3204 southeast loop 820, forest hill, tx, 76140, us",4.06037037037037,2.99,2.6434846271421555,,27,,1.89,2.79,6.19,2.99,,tx,76140,Tarrant,2024-03-30,0,0,1,0
100,Burger King,"3219 s 27th st, milwaukee, wi, 53215, us",4.265555555555555,3.29,2.6210859119885193,,27,,2.29,3.29,6.89,3.99,,wi,53215,Milwaukee,2024-03-30,0,0,1,0
101,Burger King,"3220 library rd., castle shannon, pa, 15234, us",3.848888888888888,2.99,2.147371059955825,,27,,1.99,2.99,5.59,3.19,,pa,15234,Allegheny,2024-03-30,0,0,1,0
102,Burger King,"3227 poplar ave, memphis, tn, 38111, us",3.7740000000000005,3.09,1.8149776858132445,,25,,2.19,3.09,5.59,3.39,,tn,38111,Shelby,2024-03-30,0,0,1,0
103,Burger King,"3242 east 11th street, tulsa, ok, 74104, us",3.7819230769230763,2.84,1.9821744455381263,,26,,1.99,2.79,5.19,2.79,,ok,74104,Tulsa,2024-03-30,0,0,1,0
104,Burger King,"3348 clays mill road, lexington, ky, 40503, us",3.609230769230768,2.99,1.9851408070131038,,26,,1.99,2.99,5.19,2.79,,ky,40503,Fayette,2024-03-30,0,0,1,0
105,Burger King,"3401 amnicola highway, chattanooga, tn, 37406, us",3.80111111111111,2.99,2.0269176257875885,,27,,2.29,2.79,5.49,3.19,,tn,37406,Hamilton,2024-03-30,0,0,1,0
106,Burger King,"3403 north main street, columbia, sc, 29203, us",3.9799999999999995,3.42,1.89,,26,,2.99,3.29,5.89,3.55,,sc,29203,Richland,2024-03-30,0,0,1,0
107,Burger King,"3419 north 5th street highway, reading, pa, 19605, us",3.9939999999999993,3.49,1.9934853899640195,,25,,2.29,3.49,6.09,3.59,,pa,19605,Berks,2024-03-30,0,0,1,0
108,Burger King,"344 eastern blvd, fayetteville, nc, 28301, us",3.6660000000000004,3.09,1.7761261216478965,,25,,1.99,3.09,5.39,3.09,,nc,28301,Cumberland,2024-03-30,0,0,1,0
109,Burger King,"3500 south meridian avenue, wichita, ks, 67217, us",4.5159259259259255,3.79,2.2621838993576606,,27,,2.59,3.79,6.59,3.79,,ks,67217,Sedgwick,2024-03-30,0,0,1,0
110,Burger King,"3801 moss street, lafayette, la, 70507, us",3.7751851851851845,2.99,1.9811526206850356,,27,,2.29,2.79,5.39,3.19,,la,70507,Lafayette,2024-03-30,0,0,1,0
111,Burger King,"3875 airport boulevard, mobile, al, 36609, us",4.014137931034482,3.19,1.915932324125829,,29,,2.29,2.79,5.39,3.19,,al,36609,Mobile,2024-03-30,0,0,1,0
112,Burger King,"3941 crosstown expressway, corpus christi, tx, 78416, us",3.609230769230769,2.6399999999999997,1.9806796096230028,,26,,1.99,2.59,5.49,2.69,,tx,78416,Nueces,2024-03-30,0,0,1,0
113,Burger King,"3949 government boulevard, mobile, al, 36693, us",3.9299999999999993,3.09,1.9374553758301982,,30,,2.29,2.79,5.39,3.19,,al,36693,Mobile,2024-03-30,0,0,1,0
114,Burger King,"4004 rainbow boulevard, kansas city, ks, 66103, us",4.722142857142858,3.79,2.3983705140050775,,28,,2.59,3.79,6.69,3.89,,ks,66103,Wyandotte,2024-03-30,0,0,1,0
115,Burger King,"4029, riverdale, ut, 84405, us",4.04,3.29,2.3413096269461606,,26,,2.29,3.29,5.79,3.29,,ut,84405,Weber,2024-03-30,0,0,1,0
116,Burger King,"409 west ridge pike, conshohocken, pa, 19428, us",3.6803846153846154,2.99,1.991617975356548,,26,,2.49,2.99,5.59,2.99,,pa,19428,Montgomery,2024-03-30,0,0,1,0
117,Burger King,"410 east morris street, indianapolis, in, 46225, us",3.8220000000000005,3.09,1.8763198021659313,,25,,2.19,3.09,5.69,3.59,,in,46225,Marion,2024-03-30,0,0,1,0
118,Burger King,"415 east highway 80, pooler, ga, 31322, us",3.7974074074074053,2.99,2.0428603632281956,,27,,2.39,2.99,5.89,2.99,,ga,31322,Chatham,2024-03-30,0,0,1,0
119,Burger King,"4200 saron road, lexington, ky, 40515, us",3.693999999999999,2.99,1.9777724843874234,,25,,1.99,2.99,5.19,2.79,,ky,40515,Fayette,2024-03-30,0,0,1,0
120,Burger King,"4241 augusta rd, garden city, ga, 31408, us",3.7974074074074053,2.99,2.0428603632281956,,27,,2.39,2.99,5.89,2.99,,ga,31408,Chatham,2024-03-30,0,0,1,0
121,Burger King,"425 south, el paso, tx, 79901, us",3.9603703703703705,2.99,2.2441388375243294,,27,,2.29,2.79,5.39,2.99,,tx,79901,El Paso,2024-03-30,0,0,1,0
122,Burger King,"4410 sunrise rd, round rock, tx, 78665, us",3.823333333333331,2.99,2.204670127336598,,27,,1.63,2.88,6.04,3.59,,tx,78665,Williamson,2024-03-30,0,0,1,0
123,Burger King,"4490 broadway boulevard, monroeville, pa, 15146, us",3.878,3.29,1.932939730048508,,25,,2.19,3.29,5.79,3.39,,pa,15146,Allegheny,2024-03-30,0,0,1,0
124,Burger King,"451 w. new circle road, lexington, ky, 40511, us",3.693999999999999,2.99,1.9777724843874234,,25,,1.99,2.99,5.19,2.79,,ky,40511,Fayette,2024-03-30,0,0,1,0
125,Burger King,"4520 west commerce, san antonio, tx, 78237, us",3.865999999999999,2.79,2.0991960365816245,,25,,2.19,2.79,5.89,2.79,,tx,78237,Bexar,2024-03-30,0,0,1,0
126,Burger King,"4600 fleur dr, des moines, ia, 50321, us",4.139999999999998,3.19,2.1954936364499686,,26,,2.49,3.19,5.99,2.99,,ia,50321,Polk,2024-03-30,0,0,1,0
127,Burger King,"4639 irvington, houston, tx, 77009, us",3.613076923076922,2.54,2.050948690860983,,26,,1.89,2.49,5.49,2.59,,tx,77009,Harris,2024-03-30,0,0,1,0
128,Burger King,"4701 edgmont ave, brookhaven, pa, 19015, us",4.471481481481481,3.29,2.4901341681891336,,27,,2.39,3.29,6.59,4.29,,pa,19015,Delaware,2024-03-30,0,0,1,0
129,Burger King,"4709 dorchester road, n charleston, sc, 29405, us",3.835833333333333,2.99,2.4149584479977193,,24,,1.99,2.7,6.2,3.8,,sc,29405,Charleston,2024-03-30,0,0,1,0
130,Burger King,"490 loucks road, york, pa, 17404, us",3.923333333333332,2.99,2.077034923652964,,27,,2.49,2.89,5.79,3.29,,pa,17404,York,2024-03-30,0,0,1,0
131,Burger King,"493 old hickory blvd, brentwood, tn, 37027, us",3.9220000000000006,3.29,1.9672762896959843,,25,,2.19,3.29,5.89,3.69,,tn,37027,Williamson,2024-03-30,0,0,1,0
132,Burger King,"501 macdade blvd, holmes, pa, 19036, us",3.9939999999999993,3.49,1.9934853899640195,,25,,2.29,3.49,6.09,3.59,,pa,19036,Delaware,2024-03-30,0,0,1,0
133,Burger King,"501 south king's highway, myrtle beach, sc, 29577, us",3.9816666666666656,2.99,2.6016607943559604,,24,,1.99,2.7,6.7,4.3,,sc,29577,Horry,2024-03-30,0,0,1,0
134,Burger King,"5068 old national highway, college park, ga, 30349, us",3.7566666666666655,2.99,2.0430550834654637,,27,,2.29,2.89,5.89,2.99,,ga,30349,Fulton,2024-03-30,0,0,1,0
135,Burger King,"5301 johnston st, lafayette, la, 70503, us",3.7751851851851845,2.99,1.9811526206850356,,27,,2.29,2.79,5.39,3.19,,la,70503,Lafayette,2024-03-30,0,0,1,0
136,Burger King,"5401 e. university ave, pleasant hill, ia, 50327, us",4.139999999999998,3.19,2.1954936364499686,,26,,2.49,3.19,5.99,2.99,,ia,50327,Polk,2024-03-30,0,0,1,0
137,Burger King,"568 west dekalb pike, king of prussia, pa, 19406, us",3.6803846153846154,2.99,1.991617975356548,,26,,2.49,2.99,5.59,2.99,,pa,19406,Montgomery,2024-03-30,0,0,1,0
138,Burger King,"575 east 400 south street, salt lake city, ut, 84102, us",4.04,3.29,2.3413096269461606,,26,,2.29,3.29,5.79,3.29,,ut,84102,Salt Lake,2024-03-30,0,0,1,0
139,Burger King,"6000 rivers ave, north charleston, sc, 29406, us",3.835833333333333,2.99,2.4149584479977193,,24,,1.99,2.7,6.2,3.8,,sc,29406,Charleston,2024-03-30,0,0,1,0
140,Burger King,"6003 gateway drive, plainfield, in, 46168, us",3.801599999999999,2.99,1.9787140874820701,,25,,1.99,2.99,5.89,4.19,,in,46168,Hendricks,2024-03-30,0,0,1,0
141,Burger King,"601 martin luther king blvd, savannah, ga, 31401, us",3.7974074074074053,2.99,2.0428603632281956,,27,,2.39,2.99,5.89,2.99,,ga,31401,Chatham,2024-03-30,0,0,1,0
142,Burger King,"6029 wade hampton boulevard, taylors, sc, 29687, us",3.6660000000000004,3.09,1.7761261216478965,,25,,1.99,3.09,5.39,3.09,,sc,29687,Greenville,2024-03-30,0,0,1,0
143,Burger King,"6135 eastex freeway #2, beaumont, tx, 77706, us",3.6284615384615373,2.69,1.9863141209240416,,26,,1.89,2.69,5.49,2.69,,tx,77706,Jefferson,2024-03-30,0,0,1,0
144,Burger King,"6425 phelan boulevard, beaumont, tx, 77706, us",3.6284615384615373,2.69,1.9863141209240416,,26,,1.89,2.69,5.49,2.69,,tx,77706,Jefferson,2024-03-30,0,0,1,0
145,Burger King,"621 west chicago avenue, east chicago, in, 46312, us",3.7553846153846147,2.79,2.0727058323494973,,26,,1.99,2.79,5.89,2.79,,in,46312,Lake,2024-03-30,0,0,1,0
146,Burger King,"6220 east freeway, houston, tx, 77020, us",3.613076923076922,2.54,2.050948690860983,,26,,1.89,2.49,5.49,2.59,,tx,77020,Harris,2024-03-30,0,0,1,0
147,Burger King,"623 second street, manchester, nh, 03102, us",4.097692307692307,3.09,2.5307224685883183,,26,,1.99,3.19,6.89,2.99,,nh,3102,Hillsborough,2024-03-30,0,0,1,0
148,Burger King,"6337 crawfordsville rd, speedway, in, 46224, us",3.801599999999999,2.99,1.9787140874820701,,25,,1.99,2.99,5.89,4.19,,in,46224,Marion,2024-03-30,0,0,1,0
149,Burger King,"659 government st, mobile, al, 36602, us",3.9533333333333327,3.09,1.97779057424075,,30,,2.29,2.79,5.49,3.19,,al,36602,Mobile,2024-03-30,0,0,1,0
150,Burger King,"6904 kennedy ave., hammond, in, 46323, us",4.380000000000001,3.44,2.6112036717545823,,26,,2.29,3.29,6.89,3.99,,in,46323,Lake,2024-03-30,0,0,1,0
151,Burger King,"6909 odana road, madison, wi, 53719, us",4.524230769230768,3.74,2.6474198950283117,,26,,2.49,3.39,7.09,4.09,,wi,53719,Dane,2024-03-30,0,0,1,0
152,Burger King,"696 hanes mall blvd, winston salem, nc, 27103, us",3.81,3.09,1.8497567407634983,,25,,2.19,3.09,5.69,3.59,,nc,27103,Forsyth,2024-03-30,0,0,1,0
153,Burger King,"6971 west 38th street, indianapolis, in, 46214, us",3.801599999999999,2.99,1.9787140874820701,,25,,1.99,2.99,5.89,4.19,,in,46214,Marion,2024-03-30,0,0,1,0
154,Burger King,"7011 gulf freeway, houston, tx, 77087, us",3.613076923076922,2.54,2.050948690860983,,26,,1.89,2.49,5.49,2.59,,tx,77087,Harris,2024-03-30,0,0,1,0
155,Burger King,"7050, theodore, al, 36582, us",3.9299999999999993,3.09,1.9374553758301982,,30,,2.29,2.79,5.39,3.19,,al,36582,Mobile,2024-03-30,0,0,1,0
156,Burger King,"7116 highway 70 south, nashville, tn, 37221, us",3.8740000000000006,3.29,1.8972991329782452,,25,,2.19,3.29,5.69,3.59,,tn,37221,Davidson,2024-03-30,0,0,1,0
157,Burger King,"730 lane allen rd, lexington, ky, 40504, us",3.693999999999999,2.99,1.9777724843874234,,25,,1.99,2.99,5.19,2.79,,ky,40504,Fayette,2024-03-30,0,0,1,0
158,Burger King,"7638 perkins road, baton rouge, la, 70810, us",3.7751851851851845,2.99,1.9811526206850356,,27,,2.29,2.79,5.39,3.19,,la,70810,East Baton Rouge,2024-03-30,0,0,1,0
159,Burger King,"7938 calumet avenue, munster, in, 46321, us",3.72076923076923,2.74,2.0592697045254496,,26,,1.99,2.69,5.69,2.79,,in,46321,Lake,2024-03-30,0,0,1,0
160,Burger King,"7939 east 41 street, south, tulsa, ok, 74145, us",3.7819230769230763,2.84,1.9821744455381263,,26,,1.99,2.79,5.19,2.79,,ok,74145,Tulsa,2024-03-30,0,0,1,0
161,Burger King,"801 3rd avenue west, birmingham, al, 35204, us",3.7455555555555544,2.99,2.015005437605628,,27,,2.29,2.99,5.89,2.99,,al,35204,Jefferson,2024-03-30,0,0,1,0
162,Burger King,"803 n. main, layton, ut, 84041, us",3.9529629629629617,3.19,2.2660371917035724,,27,,1.99,3.19,6.19,3.59,,ut,84041,Davis,2024-03-30,0,0,1,0
163,Burger King,"810 north main street, oregon, wi, 53575, us",4.272962962962963,3.29,2.6198725086521324,,27,,2.29,3.29,6.89,3.99,,wi,53575,Dane,2024-03-30,0,0,1,0
164,Burger King,"8131 pat booker rd, live oak, tx, 78233, us",3.799629629629627,2.99,2.223741394306387,,27,,1.63,2.88,6.04,3.59,,tx,78233,Bexar,2024-03-30,0,0,1,0
165,Burger King,"819 memorial blvd, murfreesboro, tn, 37129, us",3.8740000000000006,3.29,1.8972991329782452,,50,,2.19,3.29,5.69,3.59,,tn,37129,Rutherford,2024-03-30,0,0,1,0
166,Burger King,"819 south 3rd street, wilmington, nc, 28401, us",3.81,3.09,1.8497567407634983,,25,,2.19,3.09,5.69,3.59,,nc,28401,New Hanover,2024-03-30,0,0,1,0
167,Burger King,"8378 w overland rd., boise, id, 83709, us",4.1419999999999995,3.29,2.330342464102648,,25,,2.29,3.29,5.79,3.29,,id,83709,Ada,2024-03-30,0,0,1,0
168,Burger King,"85 tunnel road, asheville, nc, 28805, us",3.6660000000000004,3.09,1.7761261216478965,,25,,1.99,3.09,5.39,3.09,,nc,28805,Buncombe,2024-03-30,0,0,1,0
169,Burger King,"9009 clinton drive, houston, tx, 77029, us",3.613076923076922,2.54,2.050948690860983,,26,,1.89,2.49,5.49,2.59,,tx,77029,Harris,2024-03-30,0,0,1,0
